 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
    1   0.0281091  17.7903728  -0.1165276  -0.1165276
    2   0.0289117  17.7905216  -0.1161689  -0.1168866
    3   0.0298336  17.7906990  -0.1160065  -0.1170487
    4   0.0308953  17.7908974  -0.1158726  -0.1171829
    5   0.0321196  17.7911320  -0.1157486  -0.1173033
    6   0.0335267  17.7913952  -0.1156104  -0.1174153
    7   0.0351471  17.7917061  -0.1154515  -0.1175208
    8   0.0370063  17.7920628  -0.1152689  -0.1176199
    9   0.0391449  17.7924671  -0.1150593  -0.1177117
   10   0.0415985  17.7929344  -0.1148190  -0.1177949
   11   0.0444127  17.7934761  -0.1145432  -0.1178658
   12   0.0476459  17.7940960  -0.1142269  -0.1179202
   13   0.0513517  17.7948093  -0.1138642  -0.1179506
   14   0.0555958  17.7956276  -0.1134493  -0.1179463
   15   0.0604470  17.7965679  -0.1129756  -0.1178892
   16   0.0659739  17.7976418  -0.1124368  -0.1177464
   17   0.0722525  17.7988720  -0.1118254  -0.1174441
   18   0.0793617  17.8002663  -0.1111343  -0.1170339
   19   0.0873903  17.8018570  -0.1103558  -0.1165713
   20   0.0964298  17.8036613  -0.1094812  -0.1160503
   21   0.1065792  17.8057041  -0.1085022  -0.1154656
   22   0.1179478  17.8080196  -0.1074097  -0.1148112
   23   0.1306549  17.8106308  -0.1061939  -0.1140800
   24   0.1440579  17.8134193  -0.1049179  -0.1133096
   25   0.1589214  17.8165512  -0.1035108  -0.1124559
   26   0.1753774  17.8200626  -0.1019629  -0.1115117
   27   0.1935733  17.8239975  -0.1002646  -0.1104691
   28   0.2136664  17.8284073  -0.0984057  -0.1093191
   29   0.2358321  17.8333397  -0.0963760  -0.1080531
   30   0.2602583  17.8388596  -0.0941642  -0.1066602
   31   0.2886035  17.8453712  -0.0916304  -0.1050471
   32   0.3199688  17.8526955  -0.0888667  -0.1032662
   33   0.3546993  17.8609428  -0.0858489  -0.1012979
   34   0.3931991  17.8702374  -0.0825463  -0.0991197
   35   0.4359634  17.8807220  -0.0789183  -0.0967031
   36   0.4835941  17.8925743  -0.0749117  -0.0940131
   37   0.5367923  17.9059830  -0.0704727  -0.0910079
   38   0.5959287  17.9210377  -0.0655885  -0.0876619
   39   0.6642444  17.9385395  -0.0600255  -0.0837832
   40   0.7393873  17.9578037  -0.0540321  -0.0794927
   41   0.8220686  17.9789143  -0.0476555  -0.0747411
   42   0.9130274  18.0020809  -0.0410417  -0.0694808
   43   1.0130689  18.0276260  -0.0342713  -0.0636911
   44   1.1230490  18.0559845  -0.0269743  -0.0574633
   45   1.2438898  18.0877075  -0.0186147  -0.0508899
   46   1.3765615  18.1235409  -0.0095183  -0.0436032
   47   1.5221611  18.1642075  -0.0003641  -0.0352231
   48   1.6821645  18.2094898   0.0084433  -0.0259755
   49   1.8584132  18.2584286   0.0171298  -0.0163654
   50   2.0531344  18.3090954   0.0260697  -0.0064576
   51   2.2489705  18.3552608   0.0341808   0.0031048
   52   2.4455564  18.3981400   0.0412808   0.0121697
   53   2.6245887  18.4356232   0.0472408   0.0200153
   54   2.7874165  18.4693661   0.0520404   0.0267554
   55   2.9355154  18.4996891   0.0560518   0.0325233
   56   3.0702701  18.5266685   0.0594521   0.0375637
   57   3.1929111  18.5504856   0.0622950   0.0420569
   58   3.3045526  18.5713692   0.0646694   0.0460216
   59   3.4061687  18.5896626   0.0666516   0.0494968
   60   3.4986439  18.6057625   0.0683033   0.0525496
   61   3.5827780  18.6200142   0.0696841   0.0552402
   62   3.6593077  18.6326904   0.0708505   0.0576209
   63   3.7289159  18.6440144   0.0718462   0.0597355
   64   3.7891700  18.6536713   0.0726610   0.0615276
   65   3.8433540  18.6622581   0.0733563   0.0631081
   66   3.8918405  18.6698780   0.0739488   0.0644971
   67   3.9353437  18.6766663   0.0744560   0.0657222
   68   3.9744811  18.6827450   0.0748914   0.0668066
   69   4.0097580  18.6882038   0.0752660   0.0677689
   70   4.0415926  18.6931095   0.0755886   0.0686246
   71   4.0703344  18.6975346   0.0758667   0.0693861
   72   4.0950856  18.7013378   0.0760960   0.0700336
   73   4.1175284  18.7047863   0.0762960   0.0706141
   74   4.1378603  18.7079067   0.0764708   0.0711349
   75   4.1562614  18.7107334   0.0766237   0.0716020
   76   4.1728930  18.7132835   0.0767578   0.0720207
   77   4.1879067  18.7155876   0.0768758   0.0723962
   78   4.2014365  18.7176628   0.0769797   0.0727325
   79   4.2136097  18.7195320   0.0770713   0.0730338
   80   4.2251334  18.7212982   0.0771564   0.0733177
   81   4.2354202  18.7228813   0.0772310   0.0735697
   82   4.2445793  18.7242832   0.0772966   0.0737936
   83   4.2527142  18.7255344   0.0773542   0.0739920
   84   4.2599177  18.7266464   0.0774047   0.0741672
   85   4.2662797  18.7276192   0.0774488   0.0743216
   86   4.2718801  18.7284813   0.0774874   0.0744573
   87   4.2768002  18.7292404   0.0775204   0.0745764
   88   4.2811055  18.7299004   0.0775226   0.0746803
   89   4.2848668  18.7304783   0.0774922   0.0747712
   90   4.2881484  18.7309856   0.0774392   0.0748504
   91   4.2910085  18.7314262   0.0773706   0.0749222
   92   4.2934976  18.7318096   0.0772905   0.0750023
   93   4.2956691  18.7321415   0.0772019   0.0750908
   94   4.2975616  18.7324352   0.0771066   0.0751861
   95   4.2992072  18.7326908   0.0770053   0.0752875
   96   4.3006420  18.7329102   0.0768977   0.0753951
   97   4.3018894  18.7331028   0.0767818   0.0755108
   98   4.3029737  18.7332687   0.0766533   0.0756394
   99   4.3039212  18.7334156   0.0764972   0.0757955
  100   4.3047595  18.7335434   0.0761463   0.0761463
 SURFACE NUMBER     2 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.0515031  18.4658165  -0.1128646  -0.1128646
    2   0.0522852  18.4659386  -0.1125243  -0.1132048
    3   0.0531849  18.4660854  -0.1123704  -0.1133586
    4   0.0542184  18.4662437  -0.1122431  -0.1134860
    5   0.0554125  18.4664383  -0.1121274  -0.1136007
    6   0.0567867  18.4666538  -0.1120020  -0.1137072
    7   0.0583667  18.4669075  -0.1118579  -0.1138080
    8   0.0601830  18.4671974  -0.1116923  -0.1139028
    9   0.0622686  18.4675312  -0.1115021  -0.1139911
   10   0.0646614  18.4679165  -0.1112840  -0.1140714
   11   0.0674075  18.4683590  -0.1110337  -0.1141411
   12   0.0705599  18.4688663  -0.1107467  -0.1141958
   13   0.0741773  18.4694519  -0.1104174  -0.1142290
   14   0.0783177  18.4701214  -0.1100407  -0.1142313
   15   0.0830502  18.4708939  -0.1096105  -0.1141868
   16   0.0884405  18.4717731  -0.1091208  -0.1140679
   17   0.0945675  18.4727879  -0.1085649  -0.1138109
   18   0.1015045  18.4739323  -0.1079362  -0.1134244
   19   0.1093360  18.4752388  -0.1072274  -0.1129879
   20   0.1181555  18.4767246  -0.1064306  -0.1124959
   21   0.1280598  18.4784069  -0.1055378  -0.1119432
   22   0.1391580  18.4803143  -0.1045400  -0.1113238
   23   0.1515592  18.4824696  -0.1034283  -0.1106310
   24   0.1646412  18.4847736  -0.1022596  -0.1098997
   25   0.1791533  18.4873638  -0.1009682  -0.1090876
   26   0.1952201  18.4902687  -0.0995447  -0.1081876
   27   0.2129913  18.4935303  -0.0979785  -0.1071909
   28   0.2326144  18.4971867  -0.0962593  -0.1060889
   29   0.2542641  18.5012875  -0.0943754  -0.1048711
   30   0.2781267  18.5058784  -0.0923150  -0.1035270
   31   0.3058199  18.5113010  -0.0899454  -0.1019648
   32   0.3364722  18.5174084  -0.0873502  -0.1002339
   33   0.3704193  18.5242939  -0.0845080  -0.0983169
   34   0.4080571  18.5320644  -0.0813932  -0.0961945
   35   0.4498710  18.5408401  -0.0779750  -0.0938452
   36   0.4964532  18.5507755  -0.0742152  -0.0912446
   37   0.5484892  18.5620193  -0.0700754  -0.0883598
   38   0.6063396  18.5746536  -0.0655532  -0.0851672
   39   0.6731775  18.5893497  -0.0604470  -0.0814768
   40   0.7466989  18.6055260  -0.0549853  -0.0773936
   41   0.8275870  18.6232491  -0.0491316  -0.0728800
   42   0.9165760  18.6426926  -0.0427807  -0.0679436
   43   1.0144483  18.6641426  -0.0358453  -0.0625808
   44   1.1220549  18.6879787  -0.0284136  -0.0566888
   45   1.2403207  18.7146893  -0.0206594  -0.0501228
   46   1.3702103  18.7449341  -0.0125372  -0.0428919
   47   1.5128113  18.7793484  -0.0039334  -0.0350467
   48   1.6695397  18.8177147   0.0051433  -0.0265367
