24
 0.051  24.145  194.3
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1000  -100.00  -4.674  24.235  100.4  496.1  123.5
 1001   -99.14  -4.633  24.234  100.4  496.1  124.2
 1002   -80.00  -3.729  24.223  100.5  496.1  138.7
 1003   -60.00  -2.784  24.211  100.5  496.1  153.2
 1004   -40.00  -1.839  24.192  100.5  496.1  167.2
 1005   -20.00  -0.894  24.169  100.6  496.1  180.8
 1006   -10.00  -0.422  24.157  100.4  495.6  187.4
 1007    -5.00  -0.185  24.151  100.7  495.6  190.8
 1008    -2.50  -0.067  24.148  100.7  495.6  192.4
 1009     0.00   0.051  24.145  100.6  495.6  194.3
 1010     2.50   0.169  24.128  100.5  495.6  195.2
 1011     5.00   0.287  24.111  100.5  495.6  197.1
 1012     7.50   0.405  24.094  100.5  495.6  198.9
 1013    10.00   0.523  24.077  100.5  495.6  200.7
 1014    20.00   0.996  24.010  100.3  495.6  207.9
 1015    30.00   1.468  23.942  100.7  496.5  214.7
 1016    40.00   1.941  23.874  100.7  495.6  221.2
 1017    50.00   2.413  23.806  100.8  495.6  227.6
 1018    60.00   2.885  23.738  100.7  495.6  233.7
 1019    70.00   3.358  23.670  100.5  496.5  239.3
 1020    80.00   3.830  23.603  100.5  495.6  244.3
 1021    90.00   4.303  23.535  100.7  495.6  248.8
 1022   100.00   4.775  23.467  100.6  496.5  252.5
 1023   123.61   5.891  23.401  100.7  496.5  263.8
