23
-0.508  19.759  141.1
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1084  -100.00  -6.452  19.641  100.0  491.6   52.2
 1085   -80.00  -5.263  19.645   99.9  491.6   71.9
 1086   -69.40  -4.633  19.647  100.0  491.6   83.9
 1087   -60.00  -4.074  19.656  100.2  491.6   90.3
 1088   -40.00  -2.885  19.677   99.9  491.6  107.8
 1089   -20.00  -1.697  19.712  100.0  491.6  124.5
 1090   -10.00  -1.102  19.735  100.0  491.6  132.7
 1091    -5.00  -0.805  19.747  100.1  491.6  136.7
 1092    -2.50  -0.657  19.753  100.1  491.6  138.7
 1093     0.00  -0.508  19.759  100.2  491.6  141.1
 1094     2.50  -0.359  19.754  100.2  491.6  143.3
 1095     5.00  -0.211  19.750  100.1  491.6  145.6
 1096     7.50  -0.062  19.746  100.0  491.6  147.8
 1097    10.00   0.086  19.742  100.1  491.6  149.9
 1098    20.00   0.681  19.725  100.0  491.6  158.1
 1099    30.00   1.275  19.708  100.2  491.6  165.8
 1100    40.00   1.869  19.691  100.1  491.6  173.0
 1101    50.00   2.464  19.674  100.1  491.6  179.6
 1102    60.00   3.058  19.657  100.1  491.6  185.7
 1103    90.00   4.841  19.605  100.1  491.6  200.9
 1104   116.25   6.401  19.596  100.0  491.6  213.3
 1105   133.46   7.424  19.604  100.0  491.6  221.7
 1106   150.73   8.451  19.614  100.2  491.6  230.3
