28
0.865  16.696  112.3
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1133  -100.00  -8.090  16.332  100.2  510.6    7.7
 1134   -80.00  -6.680  16.377  100.1  510.6   31.1
 1135   -60.00  -5.270  16.421  100.1  510.6   52.3
 1136   -50.95  -4.633  16.441  100.2  510.6   62.8
 1137   -40.00  -3.861  16.465  100.1  510.6   72.2
 1138   -20.00  -2.451  16.508  100.1  510.6   91.2
 1139   -10.00  -1.746  16.595  100.0  510.6  100.1
 1140    -5.00  -1.394  16.641  100.1  510.6  104.6
 1141    -2.50  -1.218  16.665  100.0  510.6  106.9
 1142     2.50  -0.865  16.696   99.9  510.6  112.3
 1143     5.00  -0.689  16.704  100.2  510.6  114.9
 1144     7.50  -0.513  16.711  100.1  510.6  117.5
 1145    10.00  -0.337  16.719  100.1  510.6  119.9
 1146    20.00   0.368  16.751  100.1  510.6  129.0
 1147    30.00   1.073  16.782  100.1  510.6  137.2
 1148    40.00   1.778  16.814  100.0  510.6  144.3
 1149    50.00   2.483  16.845   99.9  510.6  150.6
 1150    60.00   3.188  16.877   99.9  510.6  156.1
 1151    70.00   3.893  16.908   99.9  510.6  160.9
 1152    80.00   4.597  16.940   99.8  510.6  165.1
 1153    90.00   5.302  16.971   99.8  510.6  168.8
 1154   100.00   6.007  17.003   99.8  510.6  171.5
 1155   112.72   6.904  17.050   99.9  510.6  176.6
 1156   125.62   7.813  17.098   99.8  510.6  181.8
 1157   140.23   8.852  17.153   99.9  497.2  187.9
 1158   151.30   9.632  17.196   99.9  497.2  192.6
 1159   164.20  10.541  17.247   99.8  497.2  198.3
 1160   172.10  11.097  17.277   99.8  497.2  201.8
