25
-1.841  11.478  209.1
SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1211   -80.00  -8.700  10.635   99.8  483.6   92.4
 1212   -60.00  -6.985  10.792  100.1  483.6  126.8
 1213   -40.00  -5.270  10.950  100.1  483.6  155.9
 1214   -32.56  -4.633  11.008  100.0  483.6  168.6
 1215   -20.00  -3.556  11.162  100.0  483.6  183.2
 1216   -10.00  -2.699  11.284  100.0  483.6  196.1
 1217    -5.00  -2.270  11.361  100.2  483.6  202.9
 1218    -2.50  -2.056  11.419  100.2  483.6  205.7
 1219     0.00  -1.841  11.478  100.1  483.6  209.1
 1220     2.50  -1.627  11.519  100.1  483.6  213.7
 1221     5.00  -1.413  11.561  100.0  483.6  216.9
 1222     7.50  -1.199  11.602  100.4  483.6  220.1
 1223    10.00  -0.984  11.643  100.2  483.6  223.0
 1224    20.00  -0.127  11.807  100.4  483.6  234.1
 1225    30.00   0.730  11.972  100.0  483.6  242.9
 1226    40.00   1.587  12.137  100.0  483.6  249.6
 1227    50.00   2.445  12.301   99.9  483.6  253.6
 1228    60.00   3.302  12.466  100.2  483.6  257.3
 1229    70.00   4.159  12.630  100.3  483.6  259.5
 1231    80.00   5.016  12.795  100.0  483.6  260.4
 1232    90.00   5.874  12.960  100.3  483.6  260.3
 1237   109.93   7.582  13.207  100.2  483.6  258.9
 1238   118.79   8.341  13.280  100.4  483.6  259.7
 1239   124.74   8.852  13.330  100.2  483.6  259.8
 1240   127.64   9.101  13.356  100.2  483.6  260.9

SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
 1211   -80.00  -8.700  10.635   99.8  483.6   92.4
 1212   -60.00  -6.985  10.792  100.1  483.6  126.8
 1213   -40.00  -5.270  10.950  100.1  483.6  155.9
 1214   -32.56  -4.633  11.008  100.0  483.6  168.6
 1215   -20.00  -3.556  11.162  100.0  483.6  183.2
 1216   -10.00  -2.699  11.284  100.0  483.6  196.1
 1217    -5.00  -2.270  11.361  100.2  483.6  202.9
 1218    -2.50  -2.056  11.419  100.2  483.6  205.7
 1219     0.00  -1.841  11.478  100.1  483.6  209.1
 1220     2.50  -1.627  11.519  100.1  483.6  213.7
 1221     5.00  -1.413  11.561  100.0  483.6  216.9
 1222     7.50  -1.199  11.602  100.4  483.6  220.1
 1223    10.00  -0.984  11.643  100.2  483.6  223.0
 1224    20.00  -0.127  11.807  100.4  483.6  234.1
 1225    30.00   0.730  11.972  100.0  483.6  242.9
 1226    40.00   1.587  12.137  100.0  483.6  199.6
 1227    50.00   2.445  12.301   99.9  483.6  203.6
 1228    60.00   3.302  12.466  100.2  483.6  207.3
 1229    70.00   4.159  12.630  100.3  483.6  209.5
 1231    80.00   5.016  12.795  100.0  483.6  210.4
 1232    90.00   5.874  12.960  100.3  483.6  210.3
 1237   109.93   7.582  13.207  100.2  483.6  208.9
 1238   118.79   8.341  13.280  100.4  483.6  209.7
 1239   124.74   8.852  13.330  100.2  483.6  209.8
 1240   127.64   9.101  13.356  100.2  483.6  210.9
 

 Above are the modified WNBEG values
 Below are the original WNBEG values
 
