45
0.225  24.154  166.4
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  621  -100.49  -4.633  24.234   99.9  514.0   92.5
  622   -75.54  -3.467  24.220  100.0  514.0  101.7
  623   -57.99  -2.647  24.209  100.0  514.0  117.0
  624   -40.43  -1.826  24.195  100.0  514.0  131.7
  625   -22.88  -1.006  24.178  100.2  514.0  145.9
  626    -5.33  -0.185  24.162  100.0  514.0  159.6
  627     3.45   0.225  24.154  100.0  514.0  166.4
  628     7.84   0.430  24.149   99.9  514.0  169.7
  629    10.00   0.531  24.077  100.4  511.2  172.8
  630    12.50   0.648  24.060  100.2  511.2  174.7
  631    15.00   0.765  24.044  100.3  510.2  176.5
  632    17.50   0.881  24.027  100.5  510.2  178.3
  633    20.00   0.998  24.010  100.0  511.3  180.1
  634    22.50   1.115  23.993  100.2  511.3  181.8
  635    25.00   1.232  23.976  100.1  511.3  183.6
  636    27.50   1.349  23.959  100.2  511.3  185.3
  637    30.00   1.466  23.942  100.0  511.3  187.0
  638    32.50   1.582  23.925   99.9  511.3  188.7
  639    35.00   1.699  23.908  100.2  511.3  190.3
  640    37.50   1.816  23.891  100.1  511.3  192.0
  641    40.00   1.933  23.874  100.1  511.3  193.6
  642    42.50   2.050  23.857  100.0  511.3  195.3
  643    45.00   2.167  23.840  100.0  511.3  196.9
  644    47.50   2.283  23.823  100.1  511.3  198.5
  645    50.00   2.400  23.806   99.9  512.5  200.1
  646    52.50   2.517  23.789   99.9  512.5  201.7
  647    55.00   2.634  23.772   99.9  512.5  203.2
  648    57.50   2.751  23.755  100.2  512.5  204.8
  649    60.00   2.868  23.738  100.0  512.5  206.3
  650    62.50   2.984  23.721  100.1  512.5  207.8
  651    65.00   3.101  23.704  100.2  512.5  209.3
  652    67.50   3.218  23.687  100.1  512.5  210.7
  653    70.00   3.335  23.671  100.2  512.5  212.0
  654    75.00   3.569  23.637  100.2  512.5  214.7
  655    77.70   3.695  23.618  100.3  512.5  216.0
  656    80.00   3.802  23.603  100.1  512.5  217.1
  657    91.22   4.327  23.535  100.0  512.5  221.7
  658   100.00   4.737  23.467  100.2  512.5  225.5
  659   124.68   5.891  23.399  100.1  512.5  237.9
  660   149.10   7.032  23.332  100.2  512.5  249.5
  661   173.51   8.173  23.266  100.2  512.5  261.4
  662   188.04   8.852  23.226  100.2  514.0  268.6
  663   197.92   9.314  23.218   99.9  514.0  273.6
  664   222.34  10.455  23.198   99.8  514.0  286.3
  665   234.46  11.021  23.197  100.0  514.0  292.8
