34
-0.419  21.245   163.0
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  746  -100.00  -6.071  21.202   98.6  495.0   81.1
  747   -80.00  -4.940  21.200   98.5  495.0   99.0
  748   -74.56  -4.633  21.199   98.6  495.0  100.6
  749   -60.00  -3.810  21.203   98.6  495.0  115.9
  750   -40.00  -2.680  21.208   98.5  495.0  132.0
  752   -20.00  -1.549  21.224   99.9  494.0  147.5
  753   -10.00  -0.984  21.234   99.9  494.0  155.2
  754    -5.00  -0.702  21.239   99.9  494.0  158.9
  755    -2.50  -0.560  21.242   99.9  494.0  160.8
  756     0.00  -0.419  21.245   99.8  494.0  163.0
  757     2.50  -0.278  21.235   99.9  494.0  165.1
  758     5.00  -0.137  21.226   99.9  494.0  167.1
  759     7.50   0.005  21.217   99.8  494.0  169.2
  760    10.00   0.146  21.208   99.9  494.0  171.2
  761    12.50   0.287  21.199   99.7  493.0  173.1
  766    15.00   0.429  21.190  100.1  494.0  175.1
  763    22.50   0.852  21.163   99.8  493.0  180.7
  767    25.00   0.994  21.154  100.0  494.0  182.5
  768    30.00   1.276  21.136   99.8  494.0  186.1
  764    32.50   1.418  21.126   99.8  493.0  187.9
  769    35.00   1.559  21.117   99.9  494.0  189.6
  770    40.00   1.841  21.099   99.9  494.0  193.0
  765    42.50   1.983  21.090   99.8  493.0  194.7
  771    45.00   2.124  21.081   99.9  494.0  196.3
  777    50.00   2.407  21.063   99.9  493.0  199.5
  773    55.00   2.689  21.045   99.8  494.0  202.6
  774    60.00   2.972  21.027  100.0  494.0  205.6
  775    65.00   3.254  21.008   99.9  494.0  208.4
  776    70.00   3.537  20.990   99.8  493.0  211.2
  778    80.00   4.102  20.954   99.9  493.0  216.3
  779    90.00   4.667  20.918  100.0  493.0  221.1
  780   100.00   5.232  20.881   99.8  493.0  225.0
  781   117.07   6.197  20.867   99.9  493.0  235.2
  782   136.03   7.268  20.851  100.1  493.0  245.0
