25
-1.372  15.052  232.4
 SCAN  % CHORD      AP      RP  % SPD     T01  WNBEG
  205  -100.00  -9.111  14.518  100.4  504.4  117.0
  206   -80.00  -7.563  14.595  100.4  504.4  143.9
  207   -60.00  -6.015  14.671  100.5  504.4  168.1
  208   -42.14  -4.633  14.740  100.4  504.4  187.7
  209   -40.00  -4.467  14.748  100.3  504.4  189.8
  210   -20.00  -2.919  14.831  100.4  504.4  211.4
  211   -10.00  -2.146  14.905  100.4  504.4  221.8
  212    -5.00  -1.759  14.979  100.2  504.4  227.4
  213    -2.50  -1.565  15.015  100.3  504.4  229.7
  214     0.00  -1.372  15.052  100.4  504.4  232.4
  215     2.50  -1.178  15.068  100.3  504.2  235.3
  216     7.50  -0.791  15.101  100.2  504.2  241.8
  217    10.00  -0.598  15.118  100.1  504.2  244.2
  218    20.00   0.176  15.184  100.3  504.2  254.5
  219    30.00   0.950  15.249  100.2  504.2  263.3
  220    50.00   2.498  15.381  100.6  504.2  277.4
  221    60.00   3.272  15.447  100.4  504.2  283.1
  222    70.00   4.046  15.513  100.4  504.2  288.0
  223    80.00   4.820  15.578  100.6  504.2  291.2
  224    90.00   5.594  15.644  100.4  504.2  294.8
  225   100.00   6.368  15.710  100.5  504.2  297.2
  226   110.95   7.216  15.771  100.5  504.4  301.3
  227   121.78   8.053  15.832  100.3  504.4  305.6
  228   132.10   8.852  15.890  100.3  504.4  309.9
  229   132.60   8.891  15.893  100.4  504.4  310.1
