0.758634D+01	0.328694D+01	0.167778D+01	0.951392D+00	0.602235D+00
0.404025D+00	0.284238D+00	0.205951D+00	0.156060D+00	0.122259D+00
0.971001D-01	0.782049D-01	0.640303D-01	0.528540D-01	
0.439525D+01	0.213064D+01	0.121520D+01	0.776074D+00	0.526702D+00
0.384222D+00	0.289327D+00	0.223238D+00	0.176954D+00	0.142902D+00
0.116925D+00	0.967524D-01	0.812493D-01	0.688578D-01	
0.695402D+01	0.337506D+01	0.178972D+01	0.108822D+01	0.729826D+00
0.520612D+00	0.389547D+00	0.302066D+00	0.241681D+00	0.196911D+00
0.161940D+00	0.135395D+00	0.114644D+00	0.974247D-01	
0.397563D+01	0.275347D+01	0.183393D+01	0.125823D+01	0.892291D+00
0.648667D+00	0.487822D+00	0.377989D+00	0.299729D+00	0.241821D+00
0.199213D+00	0.166980D+00	0.140585D+00	0.119397D+00	
0.439952D+01	0.273567D+01	0.171280D+01	0.114220D+01	0.807511D+00
0.591068D+00	0.455039D+00	0.362920D+00	0.294028D+00	0.243538D+00
0.205070D+00	0.174878D+00	0.150161D+00	0.129819D+00	
0.278396D+01	0.232155D+01	0.173159D+01	0.130219D+01	0.978523D+00
0.742171D+00	0.579535D+00	0.462125D+00	0.371763D+00	0.303259D+00
0.251354D+00	0.211342D+00	0.179323D+00	0.153439D+00	
0.241805D+01	0.230955D+01	0.167614D+01	0.119318D+01	0.877675D+00
0.666584D+00	0.517690D+00	0.411741D+00	0.336937D+00	0.276033D+00
0.231578D+00	0.195301D+00	0.167272D+00	0.144244D+00	
0.140120D+01	0.152172D+01	0.120572D+01	0.929895D+00	0.740474D+00
0.596676D+00	0.483457D+00	0.401411D+00	0.336246D+00	0.284900D+00
0.242614D+00	0.209472D+00	0.181672D+00	0.158050D+00	
0.111642D+01	0.178891D+01	0.159260D+01	0.125048D+01	0.997633D+00
0.802768D+00	0.648431D+00	0.529254D+00	0.436307D+00	0.369025D+00
0.314362D+00	0.267082D+00	0.227846D+00	0.196536D+00	
0.404530D+00	0.877837D+00	0.909478D+00	0.798177D+00	0.689079D+00
0.585655D+00	0.498869D+00	0.424457D+00	0.367091D+00	0.321950D+00
0.282541D+00	0.247248D+00	0.217720D+00	0.192445D+00	
0.319972D+00	0.866979D+00	0.969682D+00	0.875291D+00	0.757256D+00
0.649585D+00	0.557498D+00	0.483270D+00	0.420687D+00	0.368941D+00
0.322254D+00	0.282939D+00	0.248968D+00	0.220090D+00	
0.254008D+00	0.764212D+00	0.102184D+01	0.990676D+00	0.849412D+00
0.713060D+00	0.602134D+00	0.509885D+00	0.436976D+00	0.379100D+00
0.330814D+00	0.289134D+00	0.256095D+00	0.226330D+00	
0.114276D+00	0.406601D+00	0.621742D+00	0.651873D+00	0.613164D+00
0.542190D+00	0.471789D+00	0.405907D+00	0.354297D+00	0.305560D+00
0.268522D+00	0.235716D+00	0.207631D+00	0.183420D+00	
0.567457D-01	0.237837D+00	0.473474D+00	0.568825D+00	0.560268D+00
0.509639D+00	0.445919D+00	0.382991D+00	0.324801D+00	0.275566D+00
0.239375D+00	0.206742D+00	0.180137D+00	0.156754D+00	
