TITLE = "AGARD Report No. 702: NACA0012 Oscillatory and transient pitching by R. H. Landon"
VARIABLES = "x/c" \
"Cp" \
"d(x/c)" \
"dCp" \
ZONE T = "t = 0.000 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2056  0.00126  0.0100
 0.9000   0.0453  0.01448  0.0100
 0.8000  -0.0990  0.02623  0.0100
 0.7000  -0.2050  0.03664  0.0100
 0.6000  -0.2999  0.04563  0.0100
 0.5000  -0.4158  0.05249  0.0100
 0.4000  -0.5256  0.05803  0.0100
 0.3000  -0.8831  0.06002  0.0100
 0.2000  -0.8399  0.05738  0.0100
 0.1500  -0.8005  0.05345  0.0100
 0.1250  -0.7376  0.00000  0.0100
 0.1000  -0.6636  0.04683  0.0100
 0.0750  -0.5773  0.04200  0.0100
 0.0500  -0.4466  0.03555  0.0100
 0.0300  -0.2851  0.00000  0.0100
 0.0200  -0.0681  0.00000  0.0100
 0.0100   0.1784  0.00000  0.0100
 0.0050   0.3634  0.01221  0.0100
ZONE T = "t = 0.000 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1623  0.00000  0.0100
 0.0100   0.2413  0.00000  0.0100
 0.0200  -0.0003  0.00000  0.0100
 0.0400  -0.2284  0.00000  0.0100
 0.1000  -0.6316  0.04683  0.0100
 0.2200  -0.7290  0.00000  0.0100
 0.3400  -0.4183  0.00000  0.0100
 0.4600  -0.3517  0.00000  0.0100
 0.5700  -0.2555  0.00000  0.0100
 0.6800  -0.1594  0.00000  0.0100
 0.7900  -0.0718  0.00000  0.0100
 0.9000   0.0416  0.01448  0.0100
ZONE T = "t = 0.00200 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2089  0.00126  0.0100
 0.9000   0.0551  0.01448  0.0100
 0.8000  -0.0803  0.02623  0.0100
 0.7000  -0.1751  0.03664  0.0100
 0.6000  -0.2600  0.04563  0.0100
 0.5000  -0.4778  0.05249  0.0100
 0.4000  -1.1719  0.05803  0.0100
 0.3000  -1.1411  0.06002  0.0100
 0.2000  -1.0537  0.05738  0.0100
 0.1500  -1.0242  0.05345  0.0100
 0.1250  -0.9639  0.00000  0.0100
 0.1000  -0.8741  0.04683  0.0100
 0.0750  -0.7965  0.04200  0.0100
 0.0500  -0.6698  0.03555  0.0100
 0.0300  -0.5504  0.00000  0.0100
 0.0200  -0.3326  0.00000  0.0100
 0.0100   0.0889  0.00000  0.0100
 0.0050   0.0944  0.01221  0.0100
ZONE T = "t = 0.00200 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1565  0.00000  0.0100
 0.0100   0.5129  0.00000  0.0100
 0.0200   0.2729  0.00000  0.0100
 0.0400   0.0341  0.00000  0.0100
 0.1000  -0.3424  0.04683  0.0100
 0.2200  -0.4249  0.00000  0.0100
 0.3400  -0.3818  0.00000  0.0100
 0.4600  -0.2735  0.00000  0.0100
 0.5700  -0.2071  0.00000  0.0100
 0.6800  -0.1295  0.00000  0.0100
 0.7900  -0.0532  0.00000  0.0100
 0.9000   0.0514  0.01448  0.0100
ZONE T = "t = 0.00399 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.1996  0.00126  0.0100
 0.9000   0.0807  0.01448  0.0100
 0.8000  -0.0370  0.02623  0.0100
 0.7000  -0.1204  0.03664  0.0100
 0.6000  -0.3522  0.04563  0.0100
 0.5000  -0.5938  0.05249  0.0100
 0.4000  -1.2510  0.05803  0.0100
 0.3000  -1.1995  0.06002  0.0100
 0.2000  -1.1272  0.05738  0.0100
 0.1500  -1.0794  0.05345  0.0100
 0.1250  -1.0303  0.00000  0.0100
 0.1000  -0.9616  0.04683  0.0100
 0.0750  -0.8967  0.04200  0.0100
 0.0500  -0.7470  0.03555  0.0100
 0.0300  -0.6563  0.00000  0.0100
 0.0200  -0.4184  0.00000  0.0100
 0.0100  -0.1609  0.00000  0.0100
 0.0050   0.0267  0.01221  0.0100
ZONE T = "t = 0.00399 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1426  0.00000  0.0100
 0.0100   0.5700  0.00000  0.0100
 0.0200   0.3357  0.00000  0.0100
 0.0400   0.1015  0.00000  0.0100
 0.1000  -0.2786  0.04683  0.0100
 0.2200  -0.3779  0.00000  0.0100
 0.3400  -0.3595  0.00000  0.0100
 0.4600  -0.2713  0.00000  0.0100
 0.5700  -0.2124  0.00000  0.0100
 0.6800  -0.1388  0.00000  0.0100
 0.7900  -0.0567  0.00000  0.0100
 0.9000   0.0488  0.01448  0.0100
ZONE T = "t = 0.00599 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2072  0.00126  0.0100
 0.9000   0.0713  0.01448  0.0100
 0.8000  -0.0460  0.02623  0.0100
 0.7000  -0.1152  0.03664  0.0100
 0.6000  -0.1794  0.04563  0.0100
 0.5000  -0.4018  0.05249  0.0100
 0.4000  -1.2010  0.05803  0.0100
 0.3000  -1.1442  0.06002  0.0100
 0.2000  -1.0602  0.05738  0.0100
 0.1500  -0.9984  0.05345  0.0100
 0.1250  -0.9688  0.00000  0.0100
 0.1000  -0.9095  0.04683  0.0100
 0.0750  -0.8280  0.04200  0.0100
 0.0500  -0.7057  0.03555  0.0100
 0.0300  -0.5364  0.00000  0.0100
 0.0200  -0.2807  0.00000  0.0100
 0.0100  -0.0127  0.00000  0.0100
 0.0050   0.1899  0.01221  0.0100
ZONE T = "t = 0.00599 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1547  0.00000  0.0100
 0.0100   0.4308  0.00000  0.0100
 0.0200   0.1825  0.00000  0.0100
 0.0400  -0.0399  0.00000  0.0100
 0.1000  -0.4265  0.04683  0.0100
 0.2200  -0.5167  0.00000  0.0100
 0.3400  -0.4697  0.00000  0.0100
 0.4600  -0.3586  0.00000  0.0100
 0.5700  -0.2746  0.00000  0.0100
 0.6800  -0.1831  0.00000  0.0100
 0.7900  -0.0831  0.00000  0.0100
 0.9000   0.0330  0.01448  0.0100
ZONE T = "t = 0.00799 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2139  0.00126  0.0100
 0.9000   0.0613  0.01448  0.0100
 0.8000  -0.0618  0.02623  0.0100
 0.7000  -0.1480  0.03664  0.0100
 0.6000  -0.2243  0.04563  0.0100
 0.5000  -0.3154  0.05249  0.0100
 0.4000  -0.3400  0.05803  0.0100
 0.3000  -0.8619  0.06002  0.0100
 0.2000  -0.8471  0.05738  0.0100
 0.1500  -0.7695  0.05345  0.0100
 0.1250  -0.7412  0.00000  0.0100
 0.1000  -0.6982  0.04683  0.0100
 0.0750  -0.6108  0.04200  0.0100
 0.0500  -0.4434  0.03555  0.0100
 0.0300  -0.2403  0.00000  0.0100
 0.0200   0.0010  0.00000  0.0100
 0.0100   0.2730  0.00000  0.0100
 0.0050   0.4749  0.01221  0.0100
ZONE T = "t = 0.00799 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1617  0.00000  0.0100
 0.0100   0.1758  0.00000  0.0100
 0.0200  -0.0766  0.00000  0.0100
 0.0400  -0.2821  0.00000  0.0100
 0.1000  -0.6502  0.04683  0.0100
 0.2200  -0.7412  0.00000  0.0100
 0.3400  -0.6083  0.00000  0.0100
 0.4600  -0.4384  0.00000  0.0100
 0.5700  -0.3178  0.00000  0.0100
 0.6800  -0.2033  0.00000  0.0100
 0.7900  -0.0926  0.00000  0.0100
 0.9000   0.0404  0.01448  0.0100
ZONE T = "t = 0.00999 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2057  0.00126  0.0100
 0.9000   0.0589  0.01448  0.0100
 0.8000  -0.0621  0.02623  0.0100
 0.7000  -0.1410  0.03664  0.0100
 0.6000  -0.2064  0.04563  0.0100
 0.5000  -0.2953  0.05249  0.0100
 0.4000  -0.3792  0.05803  0.0100
 0.3000  -0.4742  0.06002  0.0100
 0.2000  -0.4903  0.05738  0.0100
 0.1500  -0.4915  0.05345  0.0100
 0.1250  -0.4606  0.00000  0.0100
 0.1000  -0.3989  0.04683  0.0100
 0.0750  -0.3187  0.04200  0.0100
 0.0500  -0.1472  0.03555  0.0100
 0.0300   0.0515  0.00000  0.0100
 0.0200   0.2933  0.00000  0.0100
 0.0100   0.5303  0.00000  0.0100
 0.0050   0.6981  0.01221  0.0100
ZONE T = "t = 0.00999 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1251  0.00000  0.0100
 0.0100  -0.1065  0.00000  0.0100
 0.0200  -0.3582  0.00000  0.0100
 0.0400  -0.5088  0.00000  0.0100
 0.1000  -0.8679  0.04683  0.0100
 0.2200  -1.0357  0.00000  0.0100
 0.3400  -1.0739  0.00000  0.0100
 0.4600  -0.4668  0.00000  0.0100
 0.5700  -0.3076  0.00000  0.0100
 0.6800  -0.2040  0.00000  0.0100
 0.7900  -0.0991  0.00000  0.0100
 0.9000   0.0391  0.01448  0.0100
ZONE T = "t = 0.01199 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2138  0.00126  0.0100
 0.9000   0.0634  0.01448  0.0100
 0.8000  -0.0565  0.02623  0.0100
 0.7000  -0.1408  0.03664  0.0100
 0.6000  -0.2093  0.04563  0.0100
 0.5000  -0.2839  0.05249  0.0100
 0.4000  -0.3634  0.05803  0.0100
 0.3000  -0.4417  0.06002  0.0100
 0.2000  -0.4283  0.05738  0.0100
 0.1500  -0.4258  0.05345  0.0100
 0.1250  -0.3793  0.00000  0.0100
 0.1000  -0.3072  0.04683  0.0100
 0.0750  -0.2301  0.04200  0.0100
 0.0500  -0.0711  0.03555  0.0100
 0.0300   0.1148  0.00000  0.0100
 0.0200   0.3422  0.00000  0.0100
 0.0100   0.5856  0.00000  0.0100
 0.0050   0.7410  0.01221  0.0100
ZONE T = "t = 0.01199 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1066  0.00000  0.0100
 0.0100  -0.1788  0.00000  0.0100
 0.0200  -0.4307  0.00000  0.0100
 0.0400  -0.5506  0.00000  0.0100
 0.1000  -0.9321  0.04683  0.0100
 0.2200  -1.0862  0.00000  0.0100
 0.3400  -1.1694  0.00000  0.0100
 0.4600  -0.5848  0.00000  0.0100
 0.5700  -0.2815  0.00000  0.0100
 0.6800  -0.1494  0.00000  0.0100
 0.7900  -0.0589  0.00000  0.0100
 0.9000   0.0573  0.01448  0.0100
ZONE T = "t = 0.01399 upper" \ 
I = 18 \
J = 1 \
F = POINT \ 
 1.0000   0.2183  0.00126  0.0100
 0.9000   0.0562  0.01448  0.0100
 0.8000  -0.0763  0.02623  0.0100
 0.7000  -0.1709  0.03664  0.0100
 0.6000  -0.2519  0.04563  0.0100
 0.5000  -0.3488  0.05249  0.0100
 0.4000  -0.4458  0.05803  0.0100
 0.3000  -0.5624  0.06002  0.0100
 0.2000  -0.5600  0.05738  0.0100
 0.1500  -0.5428  0.05345  0.0100
 0.1250  -0.5072  0.00000  0.0100
 0.1000  -0.4237  0.04683  0.0100
 0.0750  -0.3464  0.04200  0.0100
 0.0500  -0.1954  0.03555  0.0100
 0.0300  -0.0174  0.00000  0.0100
 0.0200   0.1937  0.00000  0.0100
 0.0100   0.4478  0.00000  0.0100
 0.0050   0.6111  0.01221  0.0100
ZONE T = "t = 0.01399 lower" \ 
I = 12 \
J = 1 \
F = POINT \ 
 0.0000   1.1413  0.00000  0.0100
 0.0100  -0.0371  0.00000  0.0100
 0.0200  -0.2924  0.00000  0.0100
 0.0400  -0.4605  0.00000  0.0100
 0.1000  -0.8239  0.04683  0.0100
 0.2200  -1.0154  0.00000  0.0100
 0.3400  -1.0645  0.00000  0.0100
 0.4600  -0.3366  0.00000  0.0100
 0.5700  -0.2187  0.00000  0.0100
 0.6800  -0.1463  0.00000  0.0100
 0.7900  -0.0567  0.00000  0.0100
 0.9000   0.0538  0.01448  0.0100
