TITLE = "Axial velocity experimental results of Traineau et al."
VARIABLES = "y/h" \ 
"u/uc" \ 
ZONE T = "x/h =  3.5, Mc = 0.05"
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.09867492  0.13983881
0.19141508  0.35386974
0.28184812  0.48548943
0.38047751  0.63357012
0.48200598  0.75691757
0.57268188  0.84458054
0.67715496  0.93495287
0.78193161  0.97037931
0.87846637  0.99758663
1.00000000  1.00000000
ZONE T = "x/h = 19.0, Mc = 0.29" \ 
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.08707865  0.22062556
0.18820225  0.36140001
0.29213483  0.50493701
0.38764045  0.63192187
0.48595506  0.75340483
0.59269663  0.85562726
0.68820225  0.92751571
0.78651685  0.98288297
0.90168539  0.99972916
1.00000000  1.00000000
ZONE T = "x/h = 28.5, Mc = 0.46" \ 
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.10338670  0.28700722
0.19347995  0.48012851
0.29494361  0.61520734
0.39378215  0.72543154
0.48727889  0.80252133
0.58625479  0.88788327
0.68260558  0.94839059
0.78736588  0.98677523
0.89485810  0.99700000
1.00000000  1.00000000
ZONE T = "x/h = 38.0, Mc = 0.68" \ 
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.08548382  0.39679187
0.17168702  0.53604555
0.28586188  0.66144733
0.38334558  0.76228304
0.48652310  0.82473138
0.58969296  0.88991949
0.68733737  0.93322007
0.79617810  0.96824012
0.89389139  0.98688279
1.00000000  1.00000000
ZONE T = "x/h = 45.5, Mc = 1.00" \
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.09144529  0.49412515
0.18762158  0.63430443
0.30074544  0.71544734
0.39441617  0.80788085
0.49382947  0.86378138
0.59879857  0.91685731
0.68997930  0.95873601
0.79510404  0.98372162
0.89196508  0.99999999
0.99447531  0.99720653
ZONE T = "x/h = 47.0, Mc = 1.13" \ 
I = 10 \ 
J = 1 \ 
F = POINT \ 
0.09213965  0.5070028
0.18625104  0.66106443
0.28896139  0.77591036
0.38917578  0.83753501
0.49223041  0.8907563
0.58969845  0.94397759
0.67895873  0.96638655
0.79056539  0.98879552
0.88828381  0.99719888
0.99714411  1.00000000
