TITLE = "CFFC: 2D Structured Curvilinear Grid Block (Cell Locations)"
VARIABLES = "x" \ 
"y" 
ZONE T =  "Block Number = 0" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.25919845475870e+00 -1.42959282097153e+00
  4.25896275249820e+00 -1.42982852323182e+00
  4.25872705023772e+00 -1.43006422549213e+00
  4.29113547985921e+00 -1.46152984609743e+00
  4.29089977759873e+00 -1.46176554835774e+00
  4.29066407533823e+00 -1.46200125061804e+00
  4.32307250495974e+00 -1.49346687122334e+00
  4.32283680269925e+00 -1.49370257348365e+00
  4.32260110043876e+00 -1.49393827574395e+00
  4.35500953006026e+00 -1.52540389634926e+00
  4.35477382779977e+00 -1.52563959860955e+00
  4.35453812553929e+00 -1.52587530086986e+00
  4.38694655516079e+00 -1.55734092147517e+00
  4.38671085290030e+00 -1.55757662373547e+00
  4.38647515063980e+00 -1.55781232599576e+00
  4.41888358026130e+00 -1.58927794660107e+00
  4.41864787800082e+00 -1.58951364886138e+00
  4.41841217574033e+00 -1.58974935112168e+00
  4.45082060536183e+00 -1.62121497172698e+00
  4.45058490310134e+00 -1.62145067398728e+00
  4.45034920084086e+00 -1.62168637624759e+00
  4.48275763046236e+00 -1.65315199685290e+00
  4.48252192820187e+00 -1.65338769911320e+00
  4.48228622594137e+00 -1.65362340137349e+00
  4.51469465556287e+00 -1.68508902197880e+00
  4.51445895330239e+00 -1.68532472423911e+00
  4.51422325104190e+00 -1.68556042649941e+00
  4.54663168066340e+00 -1.71702604710471e+00
  4.54639597840291e+00 -1.71726174936501e+00
  4.54616027614243e+00 -1.71749745162532e+00
ZONE T =  "Block Number = 1" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.25990556154017e+00 -1.42888571419063e+00
  4.25966985927967e+00 -1.42912141645092e+00
  4.25943415701918e+00 -1.42935711871122e+00
  4.29184258664068e+00 -1.46082273931652e+00
  4.29160688438020e+00 -1.46105844157684e+00
  4.29137118211971e+00 -1.46129414383713e+00
  4.32377961174121e+00 -1.49275976444244e+00
  4.32354390948072e+00 -1.49299546670274e+00
  4.32330820722023e+00 -1.49323116896304e+00
  4.35571663684173e+00 -1.52469678956835e+00
  4.35548093458124e+00 -1.52493249182865e+00
  4.35524523232076e+00 -1.52516819408896e+00
  4.38765366194226e+00 -1.55663381469427e+00
