Block 0
50 5 44
50 5 44
 0 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -9.88205105130016e-20
   0   4     7.81249999999997e-08
   1   0                        0
   1   1                        0
   1   2    -8.28209992870871e-20
   1   3     5.57459406547761e-25
   2   0     0.000833333333333332
   2   1    -1.50583635067431e-19
   2   2      1.7361111111111e-07
   3   0    -8.13151629364128e-19
   3   1     2.22983762619156e-24
   4   0                 1.25e-06
 1 0 4.999999999999994e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     3.95282042052007e-20
   0   4     7.81249999999999e-08
   1   0                        0
   1   1     2.55389845074364e-19
   1   2     6.51424805301708e-20
   1   3     4.67840033530603e-23
   2   0     0.000833333333333335
   2   1      4.4090888347744e-20
   2   2     1.73611111111111e-07
   3   0     9.76143355961117e-19
   3   1     4.16498925254682e-22
   4   0                 1.25e-06
 2 0 5.000000000000001e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     -5.0821976835258e-20
   0   4     7.81249999999997e-08
   1   0                        0
   1   1     4.05973480141794e-19
   1   2    -2.52077005102879e-20
   1   3     6.82610859169526e-23
   2   0     0.000833333333333332
   2   1    -8.33631003733299e-20
   2   2      1.7361111111111e-07
   3   0    -1.11311423041845e-19
   3   1     4.75709064917315e-22
   4   0     1.24999999999999e-06
 3 0 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     3.10578747326577e-20
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -2.78278557604613e-19
   1   2     6.95696394011534e-21
   1   3    -2.11661772798937e-23
   2   0     0.000833333333333333
   2   1     8.07128283961427e-21
   2   2     1.73611111111111e-07
   3   0     3.14418630020797e-20
   3   1    -1.44116732315917e-22
   4   0                 1.25e-06
 4 0 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     2.82344315751434e-20
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2    -3.76459087668578e-21
   1   3     8.12106681734596e-25
   2   0     0.000833333333333334
   2   1     4.51750905202294e-20
   2   2     1.73611111111111e-07
   3   0     4.51750905202294e-20
   3   1    -1.91885285449749e-24
   4   0                 1.25e-06
 5 0 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     2.82344315751434e-20
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2                        0
   1   3    -7.62676752771952e-25
   2   0     0.000833333333333334
   2   1     1.50583635067431e-20
   2   2     1.73611111111111e-07
   3   0     4.51750905202294e-20
   3   1     1.44194107736007e-24
   4   0                 1.25e-06
 6 0 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     1.97641021026004e-20
   0   4     7.81249999999998e-08
   1   0                        0
   1   1     1.27694922537182e-19
   1   2    -1.07215548168011e-20
   1   3     2.35441577734415e-23
   2   0     0.000833333333333334
   2   1      2.2045444173872e-20
   2   2     1.73611111111111e-07
   3   0     -7.6616953522309e-20
   3   1     2.12741704370408e-22
   4   0                 1.25e-06
 7 0 5.000000000000001e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -2.82344315751433e-20
   0   4     7.81249999999997e-08
   1   0                        0
   1   1     4.57774250604991e-20
   1   2     2.14431096336022e-20
   1   3    -6.23641048019858e-23
   2   0     0.000833333333333332
   2   1    -4.40908883477439e-20
   2   2      1.7361111111111e-07
   3   0     3.79109359645765e-19
   3   1    -4.34068629998585e-22
   4   0     1.24999999999999e-06
 8 0 4.999999999999994e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     7.05860789378585e-20
   0   4     7.81249999999999e-08
   1   0                        0
   1   1    -2.09612420013867e-19
   1   2    -4.74639617732542e-20
   1   3    -1.09775206913986e-22
   2   0     0.000833333333333335
   2   1     8.44473025458152e-20
   2   2     1.73611111111111e-07
   3   0    -5.03431208757437e-19
   3   1    -8.63925896559614e-22
   4   0                 1.25e-06
 9 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -6.21157494653153e-20
   0   4     7.81249999999997e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     1.88229543834289e-20
   1   3    -5.85780944288515e-25
   2   0     0.000833333333333331
   2   1    -9.03501810404586e-20
   2   2      1.7361111111111e-07
   3   0     2.71050543121376e-19
   3   1     4.17800748038284e-24
   4   0                 1.25e-06
 10 0 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -2.25875452601147e-20
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -5.90287849464334e-20
   1   2     3.15924466371471e-20
   1   3    -9.42548640920817e-23
   2   0     0.000833333333333332
   2   1    -2.79483226685153e-20
   2   2      1.7361111111111e-07
   3   0     3.96817995129696e-19
   3   1    -8.37985109259132e-22
   4   0     1.24999999999999e-06
 11 0 5.000000000000011e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -7.34095220953725e-20
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -5.69808475095152e-19
   1   2     8.20078476577225e-20
   1   3    -2.18110327085858e-22
   2   0     0.000833333333333331
   2   1    -1.17214301536488e-19
   2   2      1.7361111111111e-07
   3   0     8.45316293814531e-19
   3   1    -1.71835907749994e-21
   4   0                 1.25e-06
 12 0 4.999999999999991e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     1.68796725728838e-19
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -3.22851313584574e-19
   1   2    -1.53264023771632e-19
   1   3    -1.36512184311467e-22
   2   0     0.000833333333333337
   2   1      2.3177833109579e-19
   2   2     1.73611111111111e-07
   3   0    -1.62630325872826e-18
   3   1    -3.76055473460208e-22
   4   0                 1.25e-06
 13 0 4.999999999999977e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     1.04467396828031e-19
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -2.09612420013872e-19
   1   2    -1.60401688073828e-19
   1   3    -9.34420897649179e-23
   2   0     0.000833333333333335
   2   1     1.37693675905659e-19
   2   2      1.7361111111111e-07
   3   0    -1.86193653088178e-18
   3   1    -8.43871130086593e-22
   4   0                 1.25e-06
 14 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -3.78115507654319e-20
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -2.57799183235441e-19
   1   2     6.26427921880512e-20
   1   3    -1.09674469191398e-22
   2   0     0.000833333333333332
   2   1    -3.73447414967229e-20
   2   2      1.7361111111111e-07
   3   0     4.83915569652698e-19
   3   1    -1.54073623108025e-21
   4   0                 1.25e-06
 15 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3       8.470329472543e-21
   0   4     7.81249999999998e-08
   1   0                        0
   1   1                        0
   1   2                        0
   1   3                        0
   2   0     0.000833333333333334
   2   1                        0
   2   2     1.73611111111111e-07
   3   0     4.51750905202293e-20
   3   1                        0
   4   0                 1.25e-06
 16 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -1.74443612043865e-19
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -2.46957161510581e-19
   1   2     2.84211552826269e-19
   1   3    -4.76290607111718e-23
   2   0     0.000833333333333327
   2   1    -2.12383158899104e-19
   2   2      1.7361111111111e-07
   3   0     3.59449160251361e-18
   3   1    -1.29931449503855e-21
   4   0     1.24999999999999e-06
 17 0 4.999999999999991e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3      1.4964248734826e-19
   0   4     7.81250000000003e-08
   1   0                        0
   1   1                        0
   1   2     -1.4305445331406e-19
   1   3    -1.48984936836659e-25
   2   0     0.000833333333333338
   2   1     1.95758725587661e-19
   2   2     1.73611111111112e-07
   3   0    -1.62630325872826e-18
   3   1    -3.94724879921967e-25
   4   0     1.25000000000001e-06
 18 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     2.82344315751433e-21
   0   4     7.81249999999998e-08
   1   0                        0
   1   1     1.50583635067431e-19
   1   2    -7.90564084104013e-20
   1   3    -5.55965877240919e-23
   2   0     0.000833333333333334
   2   1     2.79483226685151e-20
   2   2     1.73611111111111e-07
   3   0     -8.4531629381453e-19
   3   1    -1.23402177547317e-21
   4   0     1.25000000000001e-06
 19 0 4.999999999999949e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333336
   0   3     5.05396325195071e-19
   0   4     7.81250000000007e-08
   1   0                        0
   1   1                        0
   1   2    -1.11055430862232e-18
   1   3     5.45124075938702e-25
   2   0     0.000833333333333344
   2   1     6.47509630789961e-19
   2   2     1.73611111111113e-07
